League,Team,Name,Age,Number,Position,Minutes,Goals,Assists,SV%,Yellow Cards,Red Cards
MLS,Orlando City Soccer Club,Pedro Ribeiro,24,15,M-F,219,1,1,0,0,0
MLS,Orlando City Soccer Club,Cyle Larin,20,21,F,205,1,0,0,0,0
MLS,Orlando City Soccer Club,Kevin Molino,24,18,M,529,0,1,0,2,0
MLS,Orlando City Soccer Club,Conor Donovan,19,23,D,0,0,0,0,0,0
MLS,Orlando City Soccer Club,Earl Edwards Jr.,23,36,GK,0,0,0,0,0,0
MLS,Orlando City Soccer Club,Harrison Heath,19,8,M,0,0,0,0,0,0
MLS,Orlando City Soccer Club,Josh Ford,27,42,GK,0,0,0,0,0,0
MLS,Orlando City Soccer Club,Martin Paterson,27,9,F,0,0,0,0,0,0
MLS,Orlando City Soccer Club,Sidney Rivera,21,26,F,0,0,0,0,0,0
MLS,Orlando City Soccer Club,Tally Hall,29,22,GK,0,0,0,0,0,0
MLS,Orlando City Soccer Club,Tommy Redding,18,29,D,0,0,0,0,0,0
MLS,Orlando City Soccer Club,Tony Cascio,25,6,M,0,0,0,0,0,0
MLS,Orlando City Soccer Club,Bryan Rochez,20,35,F,35,0,0,0,0,0
MLS,Orlando City Soccer Club,Danny Mwanga,23,19,F,66,0,0,0,0,0
MLS,Orlando City Soccer Club,Luke Boden,26,14,D,90,0,0,0,0,0
MLS,Orlando City Soccer Club,Tyler Turner,19,2,D,144,0,0,0,1,0
MLS,Orlando City Soccer Club,Lewis Neal,33,24,M,170,0,0,0,0,0
MLS,Orlando City Soccer Club,Carlos Rivas,21,11,M,181,0,0,0,1,0
MLS,Orlando City Soccer Club,Sean St. Ledger,30,4,D,181,0,0,0,0,0
MLS,Orlando City Soccer Club,Cristian Higuita,21,7,M,250,0,0,0,1,0
MLS,Orlando City Soccer Club,Eric Avila,27,12,M,308,0,0,0,0,0
MLS,Orlando City Soccer Club,Darwin Ceren,25,17,M,450,0,0,0,1,0
MLS,Orlando City Soccer Club,Rafael Ramos,20,27,D,483,0,0,0,0,1
MLS,Orlando City Soccer Club,Aurelien Collin,29,78,D,533,0,0,0,1,1
MLS,Orlando City Soccer Club,Brek Shea,25,20,M-D,540,0,0,0,2,0
MLS,Orlando City Soccer Club,Seb Hines,26,3,D,601,0,0,0,0,0
MLS,Orlando City Soccer Club,Amobi Okugo,24,5,M-D,630,0,0,0,4,0
MLS,Orlando City Soccer Club,Donovan Ricketts,37,1,GK,630,0,0,67,0,0
MLS,Philadelphia Union,Fernando Aristeguieta,23,18,F,595,3,0,0,2,0
MLS,Philadelphia Union,Cristian Maidana,28,10,M,225,1,2,0,0,0
MLS,Philadelphia Union,C.J. Sapong,26,17,F,182,1,0,0,1,0
MLS,Philadelphia Union,Zach Pfeffer,20,27,M,247,1,0,0,0,1
MLS,Philadelphia Union,Vincent Nogueira,27,5,M,485,1,0,0,2,0
MLS,Philadelphia Union,Sebastien Le Toux,31,9,F,691,0,2,0,1,0
MLS,Philadelphia Union,Eric Ayuk Mbu,18,14,M,225,0,1,0,0,0
MLS,Philadelphia Union,Maurice Edu,29,8,M,720,0,1,0,3,0
MLS,Philadelphia Union,Andre Blake,24,1,GK,0,0,0,0,0,0
MLS,Philadelphia Union,Dzenan Catic,22,19,F,0,0,0,0,0,0
MLS,Philadelphia Union,Eric Bird,22,21,M,0,0,0,0,0,0
MLS,Philadelphia Union,Jimmy McLaughlin,21,20,M,0,0,0,0,0,0
MLS,Philadelphia Union,Richard Marquez,22,16,D,0,0,0,0,0,0
MLS,Philadelphia Union,Antoine Hoppenot,24,29,F,4,0,0,0,0,0
MLS,Philadelphia Union,Fred,35,77,M,5,0,0,0,0,1
MLS,Philadelphia Union,Raymond Lee,21,3,D,12,0,0,0,0,0
MLS,Philadelphia Union,Conor Casey,33,6,F,38,0,0,0,1,0
MLS,Philadelphia Union,Brian Carroll,33,7,M,117,0,0,0,1,0
MLS,Philadelphia Union,Fabinho,30,33,D,236,0,0,0,1,0
MLS,Philadelphia Union,John McCarthy,22,55,GK,270,0,0,69,0,0
MLS,Philadelphia Union,Ethan White,24,15,D,344,0,0,0,1,0
MLS,Philadelphia Union,Rais Mbolhi,28,92,GK,450,0,0,50,0,0
MLS,Philadelphia Union,Michael Lahoud,28,13,M,470,0,0,0,1,0
MLS,Philadelphia Union,Sheanon Williams,25,25,D,472,0,0,0,2,0
MLS,Philadelphia Union,Andrew Wenger,24,11,F,626,0,0,0,0,0
MLS,Philadelphia Union,Raymon Gaddis,25,28,D,720,0,0,0,1,0
MLS,Philadelphia Union,Steven Vitoria,28,23,D,720,0,0,0,2,0
MLS,Portland Timbers,Fanendo Adi,24,9,F,601,3,1,0,0,0
